road_id,osm_id,highway_class,name,maxspeed,maxspeed_effective,oneway,oneway_effective,sidewalk,lit,geometry_wkt,lon,lat
road_00027,34079941,tertiary,רופין,0,,B,B,,,"LINESTRING (192699.861296 675151.657582, 192597.93707 675179.893826, 192497.238679 675207.795167)",34.91968259950898,32.169772000634204
road_00028,34315013,tertiary,המוביל,0,,F,F,,,"LINESTRING (193650.225208 676706.982088, 193644.667352 676739.088558)",34.930797899509614,32.183567500633416
road_00029,34315016,tertiary,,0,,B,B,,,"LINESTRING (193635.037867 676690.597526, 193636.009084 676686.835794, 193637.943214 676683.459736, 193640.699417 676680.713674, 193643.241708 676679.14362, 193646.058899 676678.12733, 193650.735503 676677.72731, 193655.302691 676678.802443, 193659.543894 676681.48635, 193662.637744 676685.426262, 193664.215292 676690.168457, 193664.300152 676693.872056, 193663.441698 676697.478249, 193661.705352 676700.753996, 193658.592026 676703.988888, 193654.646017 676706.12806, 193650.225208 676706.982088, 193646.499246 676706.647798, 193642.968985 676705.392603, 193639.208635 676702.663122, 193636.492457 676698.899684, 193635.085467 676694.478648, 193635.037867 676690.597526)",34.930797899509614,32.183567500633416
road_00030,34320275,tertiary,המוביל,0,,F,F,,,"LINESTRING (193646.058899 676678.12733, 193647.584582 676673.599029)",34.9307544995096,32.18330720063345
road_00031,34693107,tertiary,רפפורט,0,,F,F,,,"LINESTRING (189896.671999 677690.87621, 189904.987629 677700.089381, 189914.718988 677706.503927, 189926.036914 677710.49639, 189937.39972 677713.712484, 189950.333695 677715.693104, 189961.281562 677715.66126, 189964.938861 677715.162695, 189974.61867 677713.593138, 189985.142836 677710.535168, 189994.647441 677707.080954, 190002.812038 677703.286873, 190010.807195 677699.593093, 190016.264738 677695.551828, 190018.480782 677692.318404, 190020.712566 677688.009271)",34.8916503995116,32.192572800630096
road_00032,34693108,tertiary,אלי הורביץ,0,,F,F,,,"LINESTRING (194333.328758 676190.249424, 194542.017012 676296.224981, 194557.875186 676305.789349, 194569.973043 676316.449708, 194580.914538 676328.609966, 194591.712146 676347.490673, 194599.652801 676366.644532, 194602.305748 676379.357404, 194605.19209 676410.355879, 194604.724131 676427.223776, 194603.070318 676437.38558, 194600.639187 676445.919169)",34.94026489950902,32.179883500634375
road_00033,34693109,tertiary,לוי אשכול,0,,F,F,,,"LINESTRING (194340.328881 676671.22847, 194403.891309 676632.868838, 194455.536406 676595.592447, 194537.126409 676539.834577, 194560.981578 676514.8252, 194572.329332 676500.447872, 194584.052797 676473.893637, 194587.008962 676460.257701)",34.93934009950924,32.18258120063404
road_00034,34693110,tertiary,,0,,B,B,,,"LINESTRING (194332.12206 676194.25563, 194330.815232 676195.911164, 194329.139686 676197.201666, 194326.916178 676198.105401, 194324.52129 676198.355295, 194322.153048 676197.939769, 194319.839496 676196.75895, 194317.986501 676194.944903, 194316.773665 676192.663522, 194316.314655 676190.114131, 194316.638397 676187.551713, 194317.688991 676185.253635, 194319.372513 676183.375382, 194321.538449 676182.072575, 194323.98902 676181.456597, 194326.516881 676181.583407, 194328.895656 676182.442478, 194330.794791 676183.846111, 194332.242387 676185.71661, 194333.106051 676187.910143, 194333.328758 676190.249424, 194332.975539 676192.335077, 194332.12206 676194.25563)",34.93796129950903,32.17899610063433
road_00035,34693111,tertiary,אלי הורביץ,0,,B,B,,,"LINESTRING (194316.638397 676187.551713, 194221.398526 676140.337196, 194178.128141 676113.786329, 194170.09503 676107.130614)",34.936869399509035,32.178470600634306
road_00036,34693114,tertiary,"התע""ש",0,,F,F,,,"LINESTRING (193386.71275 676152.360906, 193384.324028 676147.665197, 193380.372216 676140.267726, 193377.772869 676134.352742, 193374.45262 676126.831668, 193371.27953 676117.857525, 193364.700406 676101.018766)",34.92788949950932,32.17832950063379
road_00037,34693116,tertiary,"התע""ש",0,,B,B,,,"LINESTRING (193277.467084 675821.63891, 193245.08864 675748.544491, 193216.103724 675685.854214, 193202.873479 675657.577565, 193185.819681 675616.957403, 193159.455864 675554.193973, 193120.845484 675493.613695, 193081.708099 675437.293207, 193066.080233 675415.798502)",34.92590339950905,32.17372720063416
road_00038,34693117,tertiary,לוינסקי,0,,B,B,,,"LINESTRING (190881.061883 676812.299582, 190871.759249 676820.897813, 190805.211706 676882.464781, 190722.60025 676959.048238)",34.90062499951074,32.185081100631415
road_00039,34693118,residential,סירקין,0,,B,B,,,"LINESTRING (190921.538709 677010.373558, 190880.010558 676964.70274, 190844.441777 676925.602326, 190805.211706 676882.464781, 190745.982847 676817.33844, 190714.916053 676783.193744, 190691.114403 676757.023924, 190629.192226 676690.4532)",34.90062499951074,32.185081100631415
road_00040,34693119,residential,יערה,0,,B,B,,,"LINESTRING (190722.60025 676959.048238, 190719.285923 676967.54094, 190719.869336 676973.749295, 190723.149456 676979.81694, 190761.584558 677018.631595, 190830.526269 677094.088027)",34.90015829951083,32.18630790063128
road_00041,34693121,residential,חבצלת השרון,0,,F,F,,,"LINESTRING (190347.525918 675855.657043, 190313.01968 675705.817851, 190311.486425 675700.676826, 190304.55523 675661.640276, 190293.917258 675622.581114)",34.895441699510116,32.174457800632204
road_00042,34693122,residential,הרקפת,0,,F,F,,,"LINESTRING (190311.486425 675700.676826, 190224.602715 675723.781706)",34.89450369951019,32.174617500632145
road_00043,34693123,residential,הרקפת,0,,F,F,,,"LINESTRING (190155.11846 675746.116283, 190179.895813 675739.768245, 190224.602715 675723.781706)",34.89402919951021,32.174760500632104
road_00044,34693124,tertiary,,0,,B,B,,,"LINESTRING (190442.747483 675832.995113, 190442.501806 675829.535959, 190443.614764 675826.250349, 190445.908587 675823.63781, 190449.02602 675822.098579, 190452.288571 675821.834201, 190455.422504 675822.767834, 190458.012454 675824.767594, 190459.699235 675827.557274, 190460.253989 675830.261475, 190459.950577 675833.001395, 190458.816534 675835.510813, 190456.954973 675837.567649, 190454.553856 675838.938493, 190451.839252 675839.522893, 190449.433668 675839.330161, 190447.167716 675838.493852, 190445.201953 675837.091132, 190443.696967 675835.210256, 190442.747483 675832.995113)",34.89690949951017,32.17566710063218
road_00045,34693125,residential,זאב גלר,0,,B,B,,,"LINESTRING (190449.02602 675822.098579, 190433.307352 675760.719975, 190409.204473 675666.629829, 190401.793277 675637.708016, 190394.801699 675610.415133, 190374.875925 675532.614364, 190364.192773 675490.904929)",34.89646269951008,32.17410690063232
road_00046,34693126,tertiary,שדרות ששת הימים,0,,B,B,,,"LINESTRING (190459.699235 675827.557274, 190473.874303 675824.079107, 190531.215533 675809.99847, 190628.973003 675786.632446, 190717.475371 675765.47816)",34.89878919951008,32.17519470063234
road_00047,34693127,residential,גאולה,0,,B,B,,,"LINESTRING (190364.192773 675490.904929, 190360.323951 675470.545012, 190365.590178 675468.389687, 190372.861339 675464.820281, 190454.865571 675443.005912, 190614.982802 675403.792673, 190619.322862 675404.27936, 190623.528185 675407.139536, 190626.511935 675411.611128)",34.896953599509914,32.172091500632575
road_00048,34693128,residential,גאולה,0,,B,B,,,"LINESTRING (190626.511935 675411.611128, 190632.965521 675422.338309, 190641.30192 675438.460625, 190664.231501 675521.831272, 190668.863186 675538.696015, 190685.874177 675600.52595, 190701.579516 675657.657762, 190708.069367 675681.270631, 190716.198246 675710.822717, 190726.890587 675749.704727)",34.89939809950994,32.17351790063257
road_00049,34693130,tertiary,שדרות ששת הימים,0,,B,B,,,"LINESTRING (190280.163027 675874.236511, 190323.268462 675862.34695, 190347.525918 675855.657043, 190442.747483 675832.995113)",34.89580299951022,32.175809900632096
road_00050,34693131,residential,היסמין,0,,B,B,,yes,"LINESTRING (190272.077329 675889.618422, 190272.478071 675891.225216, 190318.875411 676076.571333, 190328.244314 676113.981879, 190329.969148 676120.175841)",34.895492499510375,32.177801300631856
road_00051,34693132,residential,השרון,0,,B,B,,,"LINESTRING (190328.244314 676113.981879, 190298.48211 676121.530442, 190275.936208 676122.992498, 190266.501788 676121.888523, 190255.721632 676118.526214, 190246.496094 676111.355815, 190239.752184 676098.05699)",34.895035799510424,32.17821880063181
road_00052,34693134,residential,השרון,0,,B,B,,,"LINESTRING (190233.143232 676075.952885, 190217.209559 676012.29081, 190191.753481 675910.59778, 190191.180916 675908.28177)",34.89441649951036,32.17721900063185
road_00053,34716968,tertiary,,0,,B,B,,,"LINESTRING (190717.475371 675765.47816, 190717.329985 675760.765628, 190718.816908 675756.281348, 190721.749082 675752.580316, 190726.890587 675749.704727, 190731.595372 675749.148035, 190736.210456 675750.221724, 190740.179031 675752.805386, 190743.360755 675757.298632, 190744.467796 675761.886462, 190743.924608 675766.578764, 190741.805013 675770.798687, 190738.36225 675774.046498, 190735.668704 675775.418101, 190731.011998 675776.296244, 190726.331784 675775.533241, 190722.203664 675773.227268, 190719.109425 675769.654192, 190717.475371 675765.47816)",34.899871399510026,32.175104100632424
road_00054,34716970,residential,גאולה,0,,F,F,,,"LINESTRING (190820.46231 676000.745567, 190808.114829 676000.09288, 190802.660295 675998.954993, 190799.042855 675997.102208, 190796.220559 675992.940608, 190793.209736 675982.13706, 190771.847696 675905.393048, 190753.210393 675838.422124, 190743.224704 675802.554369, 190736.135617 675777.10235, 190735.668704 675775.418101)",34.900300499510095,32.17626930063232
road_00055,34716974,tertiary,שדרות ששת הימים,0,,B,B,,,"LINESTRING (190743.360755 675757.298632, 190821.973633 675737.48178, 190830.587975 675735.30616, 190874.649425 675724.203598, 190934.912418 675709.008101, 190938.003784 675708.223165)",34.90092839950996,32.174737000632526
road_00056,34716995,residential,זאב גלר,0,,F,F,,,"LINESTRING (190538.115897 676076.864626, 190530.221092 676076.576626, 190523.598456 676075.919059, 190519.633143 676074.45549, 190516.872653 676072.15679, 190515.035661 676069.589314, 190511.590718 676062.091692, 190490.748431 675989.704849, 190452.344664 675841.462073, 190451.839252 675839.522893)",34.89731749951027,32.17702240063206
road_00057,36564192,tertiary,הגליל,0,,B,B,,,"LINESTRING (192546.575105 676377.082302, 192566.421935 676446.226739, 192568.01158 676451.767162, 192576.473448 676481.131312, 192578.339013 676487.591416)",34.91931289950983,32.181190700632975
road_00058,36564832,residential,נחל קנה,0,,B,B,,,"LINESTRING (192293.397011 676509.697059, 192163.185586 676541.429127, 192015.99844 676579.740355)",34.91503449951003,32.18203950063262
road_00059,36564833,residential,הרב שמחה אסף,0,,B,B,,,"LINESTRING (192297.742123 676526.374787, 192383.62216 676502.66929)",34.91737299950992,32.18169530063279
road_00060,36564834,tertiary,תל חי,0,,B,B,,,"LINESTRING (192277.26489 676451.366315, 192293.397011 676509.697059, 192297.742123 676526.374787, 192306.708764 676560.838438)",34.91641609950996,32.18175650063272
road_00061,36565551,residential,טירת צבי,0,,F,F,,yes,"LINESTRING (192319.697238 676420.624172, 192354.996874 676424.011862, 192369.518316 676423.185749, 192387.163887 676419.756432, 192534.012522 676380.442407, 192546.575105 676377.082302)",34.91741289950988,32.18094770063288
road_00062,36565552,residential,האקליפטוס,0,,B,B,,,"LINESTRING (192319.697238 676420.624172, 192303.468841 676365.077059, 192374.274031 676346.390933)",34.916526999509856,32.18045260063287
road_00063,36670455,residential,הבנים,0,,B,B,,,"LINESTRING (191765.791196 675615.886133, 191869.766461 675588.212518, 191904.393547 675578.98091, 192025.464098 675545.884216, 192034.332847 675543.464972)",34.912318099509484,32.173354100633375
road_00064,36709410,tertiary,הגליל,0,,F,F,,,"LINESTRING (192546.575105 676377.082302, 192544.765733 676370.488985, 192542.994552 676364.072995, 192527.043749 676306.085164, 192516.720824 676268.542119, 192500.73162 676210.410276, 192497.465182 676198.531258, 192495.408241 676191.073645, 192476.030888 676125.055288, 192472.817035 676115.238743, 192468.077497 676099.149731, 192459.067539 676062.52367, 192454.477134 676042.242525, 192452.45818 676034.906803, 192450.667757 676028.391079, 192429.782759 675952.485208, 192417.973511 675909.567941, 192413.430671 675893.034863, 192410.95452 675884.036979)",34.91836349950964,32.17829230063322
road_00065,36709411,tertiary,הכרמל,0,,F,F,,,"LINESTRING (192410.95452 675884.036979, 192402.161493 675886.477874, 192350.817111 675900.742597, 192339.639757 675903.855272, 192285.958268 675918.758658)",34.91704219950954,32.17626650063333
road_00066,36716679,residential,ירושלים,0,,B,B,,,"LINESTRING (191295.725391 675871.079448, 191292.010681 675857.948964, 191289.359666 675847.476956, 191279.928616 675810.26535, 191264.841761 675750.436253)",34.90569039950985,32.17542430063275
road_00067,36716681,residential,יבנה,0,,F,F,,,"LINESTRING (191983.310011 676457.358819, 192129.978712 676415.023128, 192189.702103 676399.936303, 192219.35323 676403.51613, 192265.422195 676410.079407)",34.91468599950996,32.18089880063271
road_00068,36736473,path,האשל,0,,B,B,,yes,"LINESTRING (192516.720824 676268.542119, 192373.16064 676303.788924, 192367.55305 676287.580288, 192243.835025 676318.750575)",34.91726769950979,32.179901600632995
road_00069,36736548,residential,מבצע יונתן,0,,B,B,,,"LINESTRING (192228.247603 676263.29058, 192330.047694 676235.405656, 192366.274383 676225.472698)",34.91681249950976,32.17928390063301
road_00070,36736549,footway,מבצע יונתן,0,,B,B,,,"LINESTRING (192366.274383 676225.472698, 192418.279231 676211.927074)",34.91719689950975,32.179195200633025
road_00071,36736550,residential,מבצע יונתן,0,,B,B,,yes,"LINESTRING (192418.279231 676211.927074, 192495.408241 676191.073645)",34.91856709950967,32.178888100633166
road_00072,36736723,residential,גרץ,0,,B,B,,,"LINESTRING (192561.757404 676102.482862, 192586.143185 676186.685599)",34.919273099509596,32.1780908006333
road_00073,36736725,footway,המחתרות,0,,B,B,,,"LINESTRING (192589.85354 676248.720227, 192608.886918 676242.127185, 192623.946033 676251.934624, 192627.295701 676245.416367)",34.91976889950967,32.17935120063319
road_00074,36736726,residential,המחתרות,0,,B,B,,,"LINESTRING (192627.295701 676245.416367, 192689.459323 676228.762466, 192746.270064 676213.553551)",34.92062359950963,32.17923260063324
road_00075,36736727,footway,,0,,B,B,,,"LINESTRING (192586.143185 676186.685599, 192594.181301 676209.108995, 192603.534834 676218.986955, 192608.886918 676242.127185)",34.919613899509656,32.17905310063319
road_00076,36736729,footway,,0,,B,B,,,"LINESTRING (192500.73162 676210.410276, 192586.143185 676186.685599)",34.91862299950969,32.17906260063316
road_00077,36736730,footway,,0,,B,B,,,"LINESTRING (192367.55305 676287.580288, 192378.984018 676277.170223, 192366.274383 676225.472698)",34.91733019950978,32.179661700633
road_00078,36808417,residential,ארבל,0,,B,B,,,"LINESTRING (191439.451498 676147.802675, 191425.952008 676095.343311, 191406.731853 676020.543796, 191404.624679 676012.27702, 191402.555687 676004.176478, 191400.724988 675996.984599, 191399.247168 675991.211171, 191396.234658 675979.564671, 191389.51362 675953.556725, 191327.396557 675915.426345, 191303.459509 675898.393055, 191298.268463 675880.043616, 191295.725391 675871.079448)",34.90695019950993,32.177059000632646
road_00079,36808423,residential,המייסדים,0,,B,B,,,"LINESTRING (192096.492463 675786.484784, 192090.686776 675788.019666, 191987.023712 675815.501677, 191978.663193 675813.949633, 191968.245805 675812.103756, 191947.954496 675807.102027, 191924.572959 675803.328541, 191826.860478 675830.341393, 191712.197543 675863.301008, 191690.578815 675869.536854, 191675.490965 675873.89187, 191639.133149 675884.382106, 191578.602924 675901.84746, 191514.840424 675920.220307, 191461.058099 675935.727169, 191389.51362 675953.556725)",34.91027209950976,32.17591330063296
road_00080,36814932,tertiary,השחר,0,,B,B,,,"LINESTRING (191755.171912 676714.862294, 191744.918453 676676.033444, 191717.205376 676573.932519, 191713.694325 676562.564515, 191710.807092 676551.704913, 191695.747097 676496.931787, 191693.498852 676488.687513, 191680.571313 676441.26077)",34.91030459951021,32.182321700632315
road_00081,36814935,tertiary,בר אילן,0,,B,B,,,"LINESTRING (191877.619501 676041.575919, 191876.84009 676056.703804, 191880.809398 676073.593069, 191898.722332 676140.667779, 191901.409253 676150.729543, 191911.213577 676187.430601, 191921.522823 676226.026565, 191940.826258 676298.298456, 191961.653786 676376.255058, 191973.172693 676419.394407, 191983.310011 676457.358819, 191991.25199 676489.141368, 191999.096979 676516.466296, 192015.99844 676579.740355, 192021.143177 676599.0107, 192033.871483 676646.660194)",34.91290229950999,32.18054510063264
road_00082,36827557,residential,אשר ברש,0,,B,B,,,"LINESTRING (191452.989107 676805.293282, 191454.647555 676811.642867, 191463.778614 676846.637644, 191474.682455 676888.436365, 191478.209029 676901.955572, 191491.857624 676954.237213, 191501.794485 676994.275435)",34.90776079951049,32.18527380063183
road_00083,36827558,tertiary,"אז""ר",0,,F,F,,,"LINESTRING (191143.29298 676894.833889, 191079.038529 676916.8815, 191040.100052 676930.36418, 191013.722501 676943.645448, 191007.108542 676949.230819)",34.903527599510674,32.18539840063157
road_00084,36827993,residential,קדושי בלזן,0,,B,B,,yes,"LINESTRING (192544.765733 676370.488985, 192618.400595 676351.797063)",34.91908539950978,32.180507200633
road_00085,36827994,service,מוצקין,0,,B,B,,,"LINESTRING (192648.130431 676274.514989, 192667.020813 676338.793945)",34.92038259950971,32.18022430063313
road_00086,36827995,service,העצמאות,0,,B,B,,,"LINESTRING (192699.522754 676261.116585, 192717.054833 676325.421391)",34.92091349950967,32.18010490063318
road_00087,36827996,service,העצמאות,0,,F,F,,,"LINESTRING (192717.054833 676325.421391, 192738.468839 676384.84782)",34.921138899509714,32.18064130063313
road_00088,36827998,service,יצחק שדה,0,,B,B,,,"LINESTRING (192761.481916 676371.080916, 192738.468839 676384.84782)",34.9213832995097,32.180517700633146
road_00089,36828000,service,קדושי בלזן,0,,F,F,,,"LINESTRING (192618.400595 676351.797063, 192667.020813 676338.793945, 192717.054833 676325.421391)",34.92038259950971,32.18022430063313
road_00090,36828001,footway,,0,,B,B,,,"LINESTRING (192699.522754 676261.116585, 192648.130431 676274.514989, 192630.779786 676279.040906, 192527.043749 676306.085164)",34.91999999950969,32.17968460063318
road_00091,36828002,footway,,0,,B,B,,,"LINESTRING (192630.779786 676279.040906, 192623.946033 676251.934624)",34.91992829950968,32.17944000063319
road_00092,36839915,tertiary,משה דיין,0,,B,B,,,"LINESTRING (192591.624398 675642.199379, 192607.772307 675699.587922, 192630.429721 675786.246022)",34.91977229950932,32.174458700633686
road_00093,36840383,service,יצחק שדה,0,,F,F,,,"LINESTRING (192738.468839 676384.84782, 192659.242511 676407.512506, 192635.260545 676415.005679, 192618.400595 676351.797063)",34.92029819950976,32.18084380063306
road_00094,36890670,residential,יהודה הנשיא,0,,B,B,,,"LINESTRING (192689.459323 676228.762466, 192648.396952 676079.088146)",34.92019239950955,32.17788190063337
road_00095,36891181,tertiary,הגליל,0,,F,F,,,"LINESTRING (192320.060468 675575.920482, 192322.368048 675578.254147, 192324.667085 675580.920513)",34.91674969950933,32.17335770063363
road_00096,36897846,tertiary,תל חי,0,,F,F,,,"LINESTRING (192150.193003 675971.298042, 192152.136558 675978.567372, 192165.893852 676030.04002, 192171.581546 676051.316124, 192186.115072 676103.92891, 192199.432551 676156.811129, 192206.671699 676183.417027, 192216.986961 676221.15939, 192228.247603 676263.29058, 192239.222308 676304.335803, 192243.835025 676318.750575, 192261.92403 676396.271547, 192265.422195 676410.079407, 192267.007452 676417.438437, 192275.227852 676423.216104, 192279.944159 676441.134828, 192277.26489 676451.366315)",34.9156140995098,32.17915270063296
road_00097,36991779,residential,משה שרת,0,,B,B,,,"LINESTRING (191579.501659 675525.12031, 191571.932167 675509.494147, 191556.018161 675460.523319)",34.908795199509555,32.17271930063321
road_00098,36991781,residential,משה שרת,0,,F,F,,,"LINESTRING (191597.400124 675520.568927, 191618.31143 675517.506362, 191626.567236 675528.916757, 191643.373105 675583.418796, 191643.39076 675589.861612, 191630.674202 675595.795956)",34.909373899509525,32.17289580063325
road_00099,36991783,residential,משה שרת,0,,B,B,,,"LINESTRING (191630.674202 675595.795956, 191646.576315 675647.517076)",34.9094154995096,32.17349900063317
road_00100,36991874,residential,העמק,0,,F,F,,,"LINESTRING (192285.958268 675918.758658, 192283.9591 675911.82213, 192266.509079 675851.266029, 192237.266865 675751.064194, 192218.949454 675680.28621, 192214.641653 675663.630609, 192210.538837 675649.558259, 192204.798917 675629.956764, 192203.047391 675623.962176)",34.915842499509466,32.174914000633414
road_00101,36991888,tertiary,הכרמל,0,,B,B,,,"LINESTRING (192285.958268 675918.758658, 192278.899389 675920.71818, 192269.069749 675923.450288, 192164.138884 675952.60838, 192158.964912 675954.041721)",34.916174799509605,32.17646930063328
road_00102,36995568,residential,הדר,0,,F,F,,,"LINESTRING (192403.601258 675856.954416, 192450.517212 675844.220975, 192517.941398 675825.910846, 192569.258973 675811.979724, 192624.99608 675796.540129)",34.91881629950943,32.17559570063354
road_00103,36995691,residential,נעורים,0,,F,F,,,"LINESTRING (192429.782759 675952.485208, 192472.757188 675940.205933, 192511.340017 675929.180496, 192534.384114 676012.15575)",34.91833399950952,32.176625300633404
