generator_id,osm_id,generator_type,name,base_risk_score,route_review_priority_score,straight_nearest_crossing_id,straight_nearest_crossing_m,route_nearest_crossing_id,route_nearest_crossing_m,straight_distance_to_route_crossing_m,route_vs_straight_ratio,route_gap_m,reachable_crossings,generator_network_attach_m,generator_network_road_id,generator_network_road_class,crossing_network_attach_m,crossing_network_road_id,crossing_network_road_class,network_status,network_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0302,641703935,park,,75,95,cross_0187,370.7,cross_0202,502.7,471.9,1.07,132.0,334,10.9,road_01385,footway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190135.768346 677153.991918),34.893517999615284,32.187512402254235
gen_0320,883116424,park,,75,95,cross_0187,391.2,cross_0202,500.0,454.7,1.10,108.8,334,9.7,road_01385,footway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190140.180536 677133.907303),34.89356540254418,32.187331400314065
gen_0191,1202300166,kindergarten,,75,95,cross_0191,392.0,cross_0191,497.5,392.0,1.27,105.5,334,28.3,road_01435,residential,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189793.920741 677967.033881),34.88986778902976,32.194835197776605
gen_0321,883116425,park,,75,95,cross_0187,374.2,cross_0202,495.7,455.6,1.09,121.5,334,11.3,road_02234,cycleway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190159.251812 677153.854493),34.89376702558215,32.18751177482967
gen_0001,12172533321,bus_stop,ספיר/סקיבין,75,95,cross_0189,370.8,cross_0191,459.3,371.1,1.24,88.5,334,3.9,road_00329,tertiary,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189751.754038 677890.175522),34.88942299951178,32.19414100062981
gen_0204,398239488,kindergarten,,75,95,cross_0202,243.5,cross_0202,399.4,243.5,1.64,155.9,334,21.5,road_01393,service,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190225.617654 676832.214684),34.894480604927026,32.184613050702566
gen_0107,1803042067,bus_stop,יבנה/חברון,75,95,cross_0182,356.7,cross_0182,366.6,356.7,1.03,9.9,334,3.6,road_00067,residential,0.0,road_00061,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192177.84532 676399.169743),34.91519399950993,32.18075700063276
gen_0274,232412573,park,,75,95,cross_0217,265.9,cross_0216,348.9,266.0,1.31,83.0,334,11.7,road_00817,path,0.0,road_01986,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190913.540679 677533.460487),34.90175428056195,32.190954338854716
gen_0036,1803000282,bus_stop,בן יהודה/חטיבת הנח״ל,75,95,cross_0031,319.4,cross_0031,338.2,319.4,1.06,18.8,334,2.2,road_01966,footway,0.0,road_00030,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193966.046092 676698.47669),34.93414699950949,32.183498000633634
gen_0172,5210721935,bus_stop,רופין/הגבורות,75,95,cross_0158,310.9,cross_0158,328.7,310.9,1.06,17.8,334,6.7,road_00529,tertiary,0.0,road_00149,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192277.97063 675260.366278),34.916287999509144,32.17049000063391
gen_0170,5210720858,bus_stop,משה דיין/זמנהוף,75,95,cross_0176,238.4,cross_0179,319.6,251.2,1.27,81.2,334,6.3,road_00621,tertiary,0.0,road_00064,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192692.933694 675994.148817),34.92066699950947,32.177117000633466
gen_0238,130386313,park,,75,95,cross_0137,223.8,cross_0051,319.4,247.4,1.29,95.6,334,13.8,road_00467,footway,0.0,road_00078,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191482.668626 676044.991255),34.90783313986658,32.17754605112542
gen_0156,5210713960,bus_stop,בי״ס רחל המשוררת/נעמי שמר,75,95,cross_0188,208.5,cross_0188,316.2,208.5,1.52,107.7,334,1.0,road_01392,tertiary,0.0,road_00637,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189865.179259 677465.566559),34.89063899951146,32.190315000630264
gen_0037,1803000287,bus_stop,בן יהודה/חטיבת הנח״ל,75,95,cross_0031,291.8,cross_0031,315.0,291.8,1.08,23.2,334,1.8,road_00675,tertiary,0.0,road_00030,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193936.197089 676716.849006),34.9338299995095,32.18366300063359
gen_0153,5210713957,bus_stop,השמחה/ד״ר משה סנה,75,95,cross_0202,234.5,cross_0202,309.6,234.5,1.32,75.1,334,5.5,road_00583,tertiary,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190264.90054 676935.559222),34.894893999510955,32.18554600063103
gen_0378,249533638,school,"בית ספר ש""י עגנון",75,95,cross_0189,213.4,cross_0191,304.9,214.1,1.42,91.5,334,19.5,road_01112,path,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189869.04524 677783.272855),34.890670167901455,32.193180078039035
gen_0254,232404703,park,,75,95,cross_0159,204.7,cross_0158,302.5,216.0,1.40,97.8,334,11.6,road_00379,footway,0.0,road_00149,tertiary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192189.458575 675364.981293),34.91534659942651,32.171431250769594
gen_0104,1803041839,bus_stop,טשרניחובסקי/כנפי נשרים,75,95,cross_0212,219.3,cross_0084,301.1,301.1,1.00,81.8,334,0.0,road_01481,primary,0.0,road_02027,primary,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191316.384356 677338.123719),34.906031999510844,32.18920300063131
